category,content
GIT,"Q1. error: src refspec master does not match any error: failed to push some refs to 'https://github.com/username/repository.git' 이런 경우 어떻게 해결해야 하나요? 답변: 이 오류는 로컬 브랜치 이름이 원격 브랜치 이름과 일치하지 않을 때 발생합니다. 로컬 브랜치가 존재하는지 확인하고, 'git push origin main'처럼 정확한 브랜치 이름을 사용해 보세요."
GIT,"Q2. 깃에서 브랜치를 생성하고 전환하는 방법은 무엇인가요? 답변: 새로운 브랜치를 생성하려면 'git branch 브랜치이름'을 사용하고, 해당 브랜치로 전환하려면 'git checkout 브랜치이름'을 사용하세요. 생성과 동시에 전환하려면 'git checkout -b 브랜치이름'을 사용하면 됩니다."
GIT,"Q3. 깃 허브 원격저장소에서 변경 사항을 가져오는 방법은 무엇인가요? 답변: 'git pull' 명령어를 사용하면 원격 저장소에서 변경된 사항을 가져와 로컬 저장소와 병합할 수 있습니다. 'git fetch'는 변경 사항을 가져오기만 하고, 병합은 수동으로 'git merge'를 사용하여 진행할 수 있습니다."
GIT,"Q4. HEAD는 무엇을 의미하나요? 답변: HEAD는 현재 작업 중인 브랜치를 가리키는 포인터입니다. HEAD는 항상 작업 트리의 가장 최근 커밋을 가리킵니다. 새로운 커밋을 만들면 HEAD가 그 커밋을 가리키도록 업데이트됩니다."
GIT,"Q5. 깃에서 커밋 메시지를 수정할 수 있나요? 답변: 가능합니다. 'git commit --amend' 명령어를 사용하여 마지막 커밋 메시지를 수정할 수 있습니다. 하지만 이미 원격 저장소에 푸시한 커밋 메시지를 수정하는 것은 권장되지 않습니다."
GIT,"Q6. push/pull을 잘못하여 브랜치에 이상한 병합이 발생했습니다. 어떻게 해결하나요? 답변: 잘못된 병합을 되돌리기 위해 'git reset --hard' 또는 'git revert' 명령어를 사용할 수 있습니다. 'git reset'은 특정 커밋으로 되돌아가고 이후의 변경 사항을 삭제하며, 'git revert'는 잘못된 커밋을 취소하는 새로운 커밋을 만듭니다."
GIT,"Q7. 파일을 변경하고 저장한 후 커밋을 하려고 하면 'There are no staged changes to commit'이라는 메시지가 뜹니다. 어떻게 해결하나요? 답변: 변경된 파일을 스테이징 영역에 추가해야 합니다. 'git add 파일명' 명령어를 사용하여 파일을 스테이징한 후 커밋을 진행하세요."
GIT,"Q8. 'fatal: remote origin already exists.' 오류가 발생합니다. 해결 방법은? 답변: 'git remote add origin' 명령어를 사용했을 때 이미 origin이 존재하면 발생하는 오류입니다. 'git remote set-url origin URL'을 사용하여 원격 저장소 URL을 업데이트하세요."
GIT,"Q9. 'Permission denied (publickey)' 오류가 발생합니다. 해결 방법은? 답변: 이 오류는 SSH 키 인증 문제로 발생합니다. 로컬 머신에 SSH 키가 설정되어 있는지 확인하고, GitHub 계정에 SSH 키를 추가하세요. 'ssh-keygen' 명령어로 새 키를 생성할 수 있습니다."
GIT,"Q10. Git에서 변경 사항을 무시하고 싶을 때는 어떻게 하나요? 답변: 특정 파일이나 디렉토리를 Git이 추적하지 않도록 하려면 .gitignore 파일에 해당 파일이나 디렉토리를 추가하세요. 이미 추적 중인 파일을 무시하려면 'git rm --cached 파일명'을 사용하세요."
GIT,"Q11. 이전 커밋으로 되돌아가고 싶은데, 어떻게 하나요? 답변: 'git checkout 커밋해시'를 사용하여 이전 커밋으로 이동할 수 있습니다. 작업 트리를 완전히 되돌리고 싶다면 'git reset --hard 커밋해시'를 사용하세요. 주의: 'reset --hard'는 이후의 모든 변경 사항을 삭제합니다."
